time,MEMORY,best_of_gen,average,TRAINED,gen
1752939160.5539105,1986952.0,0.6397744303797469,-459.7312947392404,False,487
1752939160.8377438,1987080.0,0.6397744303797469,-526.7440902278481,False,488
1752939161.124968,1987080.0,0.6397744303797469,-363.6825789674092,False,489
1752939161.416769,1987208.0,0.6397744303797469,-394.6675932005126,False,490
1752939161.7097251,1987720.0,0.6397744303797469,-431.6866390566676,False,491
1752939162.0055795,1988232.0,0.6397744303797469,-468.6801127848101,False,492
1752939162.2934175,1988872.0,0.6397744303797469,-358.65479151733075,False,493
1752939162.5885315,1989384.0,0.6397744303797469,-445.6745014003291,False,494
1752939162.8805404,1989768.0,0.6397744303797469,-430.68685864658835,False,495
1752939163.1653814,1990408.0,0.6397744303797469,-431.6609195518987,False,496
1752939163.5630033,1990920.0,0.6397744303797469,-409.66731729620244,False,497
1752939163.8558192,1991432.0,0.6397744303797469,-410.66731729620244,False,498
1752939164.1401424,1991944.0,0.6397744303797469,-358.6481240632911,False,499
1752939164.432074,1992456.0,0.6397744303797469,-404.68651052911395,False,500
1752939164.7270207,1993224.0,0.6397744303797469,-410.6930379729715,False,501
1752939165.021939,1993736.0,0.6397744303797469,-452.7057037620252,False,502
1752939165.3171258,1994248.0,0.6397744303797469,-387.66731729620255,False,503
1752939165.6110837,1994888.0,0.6397744303797469,-428.7121015063291,False,504
1752939165.911867,1995528.0,0.6397744303797469,-415.6760031944104,False,505
1752939166.2133243,1996040.0,0.6397744303797469,-517.7443042622754,False,506
1752939166.5104702,1996808.0,0.6397744303797469,-430.71911795975234,False,507
1752939166.797443,1997320.0,0.6397744303797469,-370.6427696837666,False,508
1752939167.0876925,1997704.0,0.6397744303797469,-406.65452180759485,False,509
1752939167.3790286,1998344.0,0.6397744303797469,-388.7187946028379,False,510
1752939167.6812892,1999112.0,0.6397744303797469,-483.74409022784806,False,511
1752939167.9796574,1999624.0,0.6397744303797469,-439.70765426043204,False,512
1752939168.299484,2000264.0,0.6397744303797469,-449.7259592936864,False,513
