time,MEMORY,best_of_gen,average,TRAINED,gen
1751359050.227924,2317252.0,0.7111889999999998,-443.688407152736,False,1608
1751359050.6346529,2318132.0,0.7111889999999998,-414.6444055,False,1609
1751359051.059891,2319080.0,0.7111889999999998,-413.65862927999996,False,1610
1751359051.4777114,2319208.0,0.7111889999999998,-428.6518142457894,False,1611
1751359051.907906,2320032.0,0.7111889999999998,-533.70841251,False,1612
1751359052.3223953,2321096.0,0.7111889999999998,-404.6455463658317,False,1613
1751359052.733317,2321412.0,0.7111889999999998,-394.602584201358,False,1614
1751359053.1495624,2322040.0,0.7111889999999998,-433.63156844730764,False,1615
1751359060.377236,2322020.0,0.7111889999999998,-462.68075237824996,True,1616
1751359060.81573,2322084.0,0.7111889999999998,-446.6662942896779,False,1617
1751359061.274883,2322404.0,0.7111889999999998,-476.6454868931973,False,1618
1751359061.723912,2322468.0,0.7111889999999998,-453.659723422224,False,1619
1751359062.1387062,2321956.0,0.7111889999999998,-356.58751037999997,False,1620
1751359062.5607376,2322404.0,0.7111889999999998,-398.63018172000005,False,1621
1751359062.9942508,2322020.0,0.7111889999999998,-397.6237065432911,False,1622
1751359063.4309604,2322336.0,0.7111889999999998,-474.67996495,False,1623
1751359063.8621244,2322652.0,0.7111889999999998,-390.675334925743,False,1624
1751359064.2910233,2322840.0,0.7111889999999998,-408.6518084681578,False,1625
1751359064.735634,2323532.0,0.7111889999999998,-534.709057193924,False,1626
1751359065.163681,2323588.0,0.7111889999999998,-446.68707684000003,False,1627
1751359065.5911934,2323904.0,0.7111889999999998,-416.64452375613325,False,1628
1751359066.0117574,2324412.0,0.7111889999999998,-408.6099121007317,False,1629
1751359066.4457912,2324248.0,0.7111889999999998,-423.65151739,False,1630
1751359066.8520386,2324752.0,0.7111889999999998,-373.59500301376625,False,1631
1751359067.2893775,2325444.0,0.7111889999999998,-475.67344000569625,False,1632
1751359067.7347617,2325380.0,0.7112544054054053,-436.6667449396045,False,1633
1751359068.1613836,2326584.0,0.7111889999999998,-392.62378755489226,False,1634
1751359068.5894048,2326516.0,0.7111889999999998,-499.67285305999997,False,1635
1751359069.023576,2327588.0,0.7111889999999998,-491.67996495,False,1636
1751359069.4453816,2328156.0,0.7111889999999998,-436.6515173899999,False,1637
1751359069.887465,2328536.0,0.7111889999999998,-482.67996495,False,1638
1751359070.308756,2329420.0,0.7111889999999998,-350.6032766049018,False,1639
1751359070.7415922,2329784.0,0.7111889999999998,-454.67996495,False,1640
1751359071.1635737,2330792.0,0.7111889999999998,-432.6454600645657,False,1641
1751359078.40635,2331228.0,0.7111889999999998,-395.62410657107836,True,1642
1751359078.8462539,2331484.0,0.7111889999999998,-423.63080924848094,False,1643
1751359079.2880092,2331036.0,0.7111889999999998,-424.65151739,False,1644
1751359079.7219245,2331288.0,0.7111889999999998,-553.6870768399999,False,1645
1751359080.1754947,2331416.0,0.7111889999999998,-542.7015649297368,False,1646
1751359080.6233554,2331480.0,0.7111889999999998,-550.702454509518,False,1647
1751359081.0660565,2331788.0,0.7111889999999998,-455.6734236310256,False,1648
1751359081.4880326,2332104.0,0.7111889999999998,-456.63095271638326,False,1649
1751359081.9177585,2332100.0,0.7111889999999998,-519.6734691217192,False,1650
1751359082.3522506,2332288.0,0.7111889999999998,-494.6953306698342,False,1651
1751359082.79167,2333284.0,0.7111889999999998,-485.6959395098449,False,1652
1751359083.2138324,2333348.0,0.7111889999999998,-404.61657233455696,False,1653
1751359083.6403627,2333504.0,0.7111889999999998,-446.68135750976745,False,1654
1751359084.0847168,2334324.0,0.7111889999999998,-623.7510838500001,False,1655
1751359084.516357,2334324.0,0.7111889999999998,-494.7032611799525,False,1656
1751359084.9430351,2334576.0,0.7111889999999998,-409.6590223821193,False,1657
1751359085.3888042,2335300.0,0.7111889999999998,-507.737384863421,False,1658
1751359085.8218017,2335236.0,0.7111889999999998,-519.7090681373437,False,1659
1751359086.2582042,2334552.0,0.7111889999999998,-519.6948488764558,False,1660
1751359086.6691625,2335952.0,0.7111889999999998,-368.59583272761904,False,1661
1751359087.0950854,2336336.0,0.7111889999999998,-407.60265837560974,False,1662
1751359087.507235,2337916.0,0.7111889999999998,-341.6033451486477,False,1663
1751359087.9565713,2337592.0,0.7111889999999998,-587.73686007,False,1664
1751359088.3795245,2338348.0,0.7111889999999998,-447.67285305999997,False,1665
1751359088.8535984,2338348.0,0.7111889999999998,-560.77241952,False,1666
1751359089.2804859,2340680.0,0.7111889999999998,-457.74576864043297,False,1667
1751359096.4894145,2332492.0,0.7111889999999998,-496.73752418285716,True,1668
1751359096.9451625,2332948.0,0.7111889999999998,-401.64589846172845,False,1669
1751359097.4120803,2333012.0,0.7111889999999998,-517.701644477572,False,1670
1751359097.8598115,2333140.0,0.7111889999999998,-462.66014626670176,False,1671
1751359098.29616,2333200.0,0.7111889999999998,-463.69418873,False,1672
1751359098.7374372,2333200.0,0.7111889999999998,-425.65862927999996,False,1673
1751359099.1670165,2333264.0,0.7111889999999998,-494.6870768399999,False,1674
1751359099.6285102,2333392.0,0.7111889999999998,-494.7155244,False,1675
1751359100.0708592,2333584.0,0.7111889999999998,-418.659287092607,False,1676
1751359100.5246692,2333200.0,0.7111889999999998,-511.6732743022078,False,1677
1751359100.970574,2333452.0,0.7111889999999998,-535.6802176228948,False,1678
1751359101.409507,2333640.0,0.7111889999999998,-413.6661995714,False,1679
1751359101.8443742,2334208.0,0.7111889999999998,-397.64706985129624,False,1680
1751359102.2916994,2334200.0,0.7111889999999998,-461.7098768394185,False,1681
1751359102.7280126,2334264.0,0.7111889999999998,-463.6951866285544,False,1682
1751359103.170587,2334264.0,0.7111889999999998,-502.7085130317334,False,1683
1751359103.6248546,2334516.0,0.7111889999999998,-475.7013993572,False,1684
1751359104.0489223,2334832.0,0.7111889999999998,-436.65191595298705,False,1685
1751359104.5047686,2335084.0,0.7111889999999998,-447.66574117,False,1686
1751359104.9305453,2335400.0,0.7111889999999998,-368.6301817199999,False,1687
1751359105.3552005,2335968.0,0.7111889999999998,-336.5819069890736,False,1688
1751359105.7900658,2335776.0,0.7111889999999998,-463.65863361216213,False,1689
1751359106.219759,2337104.0,0.7111889999999998,-440.65862927999996,False,1690
1751359106.784353,2336848.0,0.7111889999999998,-503.70130062,False,1691
1751359107.2392106,2336968.0,0.7111889999999998,-530.6733858964103,False,1692
1751359107.6739974,2336968.0,0.7111889999999998,-469.66574117,False,1693
1751359114.7368746,2352788.0,0.7111889999999998,-364.6164971723076,True,1694
1751359115.2047832,2352788.0,0.7111889999999998,-506.6748599899067,False,1695
1751359115.6623647,2352788.0,0.7111889999999998,-479.6801040178667,False,1696
1751359116.1042416,2352980.0,0.7111889999999998,-407.6307753989056,False,1697
1751359116.5402062,2353040.0,0.7111889999999998,-483.65904088766234,False,1698
1751359116.9750922,2353104.0,0.7111889999999998,-421.651790233421,False,1699
1751359117.4228992,2353168.0,0.7111889999999998,-482.6897651276178,False,1700
1751359117.9072094,2353548.0,0.7111889999999998,-430.7025680623452,False,1701
1751359118.3399143,2354432.0,0.7111889999999998,-471.6445505907999,False,1702
1751359118.771794,2354040.0,0.7111889999999998,-387.61595793999993,False,1703
1751359119.1961622,2354292.0,0.7111889999999998,-359.6170353241463,False,1704
1751359119.6390574,2354544.0,0.7111889999999998,-451.67342403179487,False,1705
1751359120.111883,2355364.0,0.7111889999999998,-520.6952514748781,False,1706
1751359120.556888,2355428.0,0.7111889999999998,-488.72263629,False,1707
1751359120.998158,2355744.0,0.7111889999999998,-449.65550508424406,False,1708
1751359121.4305456,2356308.0,0.7111889999999998,-376.62393208049684,False,1709
1751359121.8790653,2356308.0,0.7111889999999998,-511.64630180101926,False,1710
1751359122.3202431,2356308.0,0.7111889999999998,-394.65862928,False,1711
1751359122.7537622,2356308.0,0.7111889999999998,-452.67285305999997,False,1712
1751359123.1774466,2357372.0,0.7111889999999998,-360.6044541215565,False,1713
1751359123.624,2357500.0,0.7111889999999998,-417.6310085511688,False,1714
1751359124.0745442,2357308.0,0.7111889999999998,-445.67285305999997,False,1715
1751359124.5088263,2357372.0,0.7111889999999998,-425.6301817199999,False,1716
1751359124.9367223,2358068.0,0.7111889999999998,-331.60884605,False,1717
1751359125.3676205,2358380.0,0.7111889999999998,-422.63816005382716,False,1718
1751359125.9192164,2358572.0,0.7111889999999998,-406.60271988246257,False,1719
1751359132.9832554,2358304.0,0.7111889999999998,-447.65151739,True,1720
1751359133.4539387,2358304.0,0.7111889999999998,-445.65946826212655,False,1721
1751359133.9152012,2358432.0,0.7111889999999998,-447.6534427907564,False,1722
1751359134.3617609,2358548.0,0.7111889999999998,-396.6372936099999,False,1723
1751359134.816819,2358548.0,0.7111889999999998,-371.6310224426407,False,1724
1751359135.27789,2358484.0,0.7111889999999998,-530.7018980430588,False,1725
1751359135.7471557,2358736.0,0.7111889999999998,-571.73686007,False,1726
1751359136.1892848,2359556.0,0.7111889999999998,-506.70130062000004,False,1727
1751359136.6559503,2359556.0,0.7111889999999998,-497.666514809,False,1728
1751359137.077248,2359872.0,0.7111889999999998,-404.60250779899997,False,1729
1751359137.532945,2360252.0,0.7111889999999998,-513.72263629,False,1730
1751359137.9673538,2361264.0,0.7111889999999998,-367.63018171999994,False,1731
1751359138.4068847,2360880.0,0.7111889999999998,-448.6663681316455,False,1732
1751359138.8555503,2361260.0,0.7111889999999998,-505.66574117000005,False,1733
1751359139.3040535,2361376.0,0.7111889999999998,-437.6384457934794,False,1734
1751359139.7715783,2362324.0,0.7111889999999998,-599.7581957399999,False,1735
1751359140.1926987,2362320.0,0.7111889999999998,-360.6456836873417,False,1736
1751359140.633605,2363076.0,0.7111889999999998,-483.6733290579487,False,1737
