gen,time,PKG,GPU,seconds_passed,best_of_gen,average,best_of_gen_std
1484.0,1970-01-01 00:00:01.749325632,20319.354947999986,67662.95288699992,8.676e-07,0.6900597159298246,-426.4463771926239,0.008803124936267538
1485.0,1970-01-01 00:00:01.749325632,20342.435701999984,67726.71508799991,8.681999999999999e-07,0.6900597159298246,-393.21672506106927,0.008803124936267538
1486.0,1970-01-01 00:00:01.749325639,20501.55239799998,68273.77853699992,8.752e-07,0.6900597159298246,-390.03747256614645,0.008803124936267538
1487.0,1970-01-01 00:00:01.749325640,20521.749219999983,68340.13262999992,8.756e-07,0.6900597159298246,-503.7064761050523,0.008803124936267538
1488.0,1970-01-01 00:00:01.749325640,20522.97258599998,68343.66945899991,8.760000000000001e-07,0.6900724039298246,-541.9246214844308,0.008819223025529394
1489.0,1970-01-01 00:00:01.749325641,20538.530793999984,68392.12508599993,8.766e-07,0.6900724039298246,-459.4744596650406,0.008819223025529394
1490.0,1970-01-01 00:00:01.749325641,20544.566173999985,68411.2038809999,8.768e-07,0.6900724039298246,-480.07741002667063,0.008819223025529394
1491.0,1970-01-01 00:00:01.749325642,20567.060877999982,68482.75343199991,8.774e-07,0.6900724039298246,-425.27159356095143,0.008819223025529394
1492.0,1970-01-01 00:00:01.749325642,20569.60720999998,68490.36078999992,8.776000000000001e-07,0.6900724039298246,-509.92704989396117,0.008819223025529394
1493.0,1970-01-01 00:00:01.749325642,20587.364849999984,68538.98737499991,8.782e-07,0.6900724039298246,-429.6593871997735,0.008819223025529394
1494.0,1970-01-01 00:00:01.749325643,20585.097317999982,68538.11851699991,8.786e-07,0.6906444039298246,-512.1317686023277,0.008038647850207276
1495.0,1970-01-01 00:00:01.749325643,20605.377389999983,68594.63195999991,8.792e-07,0.6906444039298246,-436.4515117720566,0.008038647850207276
1496.0,1970-01-01 00:00:01.749325644,20610.56415399998,68609.55842599992,8.796e-07,0.6906444039298246,-403.02607135855527,0.008038647850207276
1497.0,1970-01-01 00:00:01.749325644,20612.04646999998,68609.06150499992,8.8e-07,0.6906444039298246,-497.8871080259352,0.008038647850207276
1498.0,1970-01-01 00:00:01.749325645,20634.392723999983,68679.71165599993,8.804000000000001e-07,0.6906444039298246,-369.7983954742323,0.008038647850207276
1499.0,1970-01-01 00:00:01.749325645,20635.651189999982,68683.81558499993,8.806e-07,0.6906444039298246,-437.2477999539957,0.008038647850207276
1500.0,1970-01-01 00:00:01.749325646,20654.005179999982,68736.05551999992,8.814e-07,0.6906444039298246,-506.51884748238444,0.008038647850207276
1501.0,1970-01-01 00:00:01.749325646,20670.303687999978,68784.70644699992,8.816e-07,0.6906444039298246,-411.25275751133205,0.008038647850207276
1502.0,1970-01-01 00:00:01.749325646,20680.28581599998,68810.17332899992,8.82e-07,0.6906444039298246,-404.62307183699016,0.008038647850207276
1503.0,1970-01-01 00:00:01.749325647,20682.76014799998,68817.38683699991,8.824e-07,0.6906444039298246,-416.2615842420743,0.008038647850207276
1504.0,1970-01-01 00:00:01.749325647,20699.975771999983,68862.48989299992,8.830000000000001e-07,0.6912327144561404,-457.2688835554185,0.007300910233449128
1505.0,1970-01-01 00:00:01.749325648,20719.359777999984,68923.19435699991,8.834000000000001e-07,0.6912699776140352,-482.12031244801426,0.007259687410445444
1506.0,1970-01-01 00:00:01.749325648,20719.746177999983,68924.1378569999,8.836e-07,0.6936200239298247,-388.63422350835907,0.006549834601154425
1507.0,1970-01-01 00:00:01.749325649,20727.78923999998,68945.51830999991,8.844000000000001e-07,0.6936200239298247,-448.07112607373,0.006549834601154425
1508.0,1970-01-01 00:00:01.749325649,20740.183999999983,68982.6519499999,8.846e-07,0.6936200239298247,-455.05131550122985,0.006549834601154425
1509.0,1970-01-01 00:00:01.749325649,20753.628075999983,69021.5235189999,8.851999999999999e-07,0.6936200239298247,-411.0415747591147,0.006549834601154425
1510.0,1970-01-01 00:00:01.749325650,20760.892871999982,69039.84274299991,8.854e-07,0.6936200239298247,-446.0589713204542,0.006549834601154425
1511.0,1970-01-01 00:00:01.749325650,20767.12500199998,69058.08648799991,8.86e-07,0.6936200239298247,-523.7173693499997,0.006549834601154425
1512.0,1970-01-01 00:00:01.749325657,20939.749657999982,69651.36277699991,8.930000000000001e-07,0.6936200239298247,-459.09500601057243,0.006549834601154425
1513.0,1970-01-01 00:00:01.749325658,20953.921199999982,69699.05562499992,8.934e-07,0.6936200239298247,-443.28084535013284,0.006549834601154425
1514.0,1970-01-01 00:00:01.749325658,20974.16537199998,69761.96366799992,8.939999999999999e-07,0.6936200239298247,-488.7021523895816,0.006549834601154425
1515.0,1970-01-01 00:00:01.749325659,20981.514567999984,69784.40239199992,8.944e-07,0.6936200239298247,-462.89660702839785,0.006549834601154425
1516.0,1970-01-01 00:00:01.749325659,20979.055435999984,69776.9834339999,8.948e-07,0.6936264559298246,-500.312911208361,0.006553570622096639
1517.0,1970-01-01 00:00:01.749325660,21001.849739999983,69847.19988499992,8.953999999999999e-07,0.6936264559298246,-530.3117571938277,0.006553570622096639
1518.0,1970-01-01 00:00:01.749325660,21010.414751999986,69873.60868799992,8.956e-07,0.6936264559298246,-453.4941231247197,0.006553570622096639
1519.0,1970-01-01 00:00:01.749325660,21033.65795599999,69938.47973899991,8.962e-07,0.6936264559298246,-453.47835899160293,0.006553570622096639
1520.0,1970-01-01 00:00:01.749325661,21032.276589999987,69934.2835099999,8.963999999999999e-07,0.6936264559298246,-503.28542310703125,0.006553570622096639
1521.0,1970-01-01 00:00:01.749325661,21040.984551999987,69959.89531299991,8.972e-07,0.6936264559298246,-416.4579171931423,0.006553570622096639
1522.0,1970-01-01 00:00:01.749325662,21046.848631999987,69978.59495799991,8.973999999999999e-07,0.6936264559298246,-461.71079293505926,0.006553570622096639
1523.0,1970-01-01 00:00:01.749325662,21060.739557999987,70019.05052699991,8.98e-07,0.6936264559298246,-536.9504205084377,0.006553570622096639
1524.0,1970-01-01 00:00:01.749325663,21066.387937999985,70029.06127199992,8.984e-07,0.6936264559298246,-519.738423906373,0.006553570622096639
1525.0,1970-01-01 00:00:01.749325663,21081.01382999999,70073.84691999991,8.988e-07,0.6936926959298246,-468.4942977650729,0.006593748261863626
1526.0,1970-01-01 00:00:01.749325664,21090.910457999988,70105.66165199992,8.994e-07,0.6936926959298246,-506.31178623660844,0.006593748261863626
1527.0,1970-01-01 00:00:01.749325664,21099.242069999986,70128.09845499993,8.994e-07,0.6936926959298246,-388.0537582811754,0.006593748261863626
1528.0,1970-01-01 00:00:01.749325664,21122.309173999987,70192.95240599991,9.002e-07,0.6936926959298246,-429.86307239860514,0.006593748261863626
1529.0,1970-01-01 00:00:01.749325665,21129.744119999985,70215.7824799999,9.004000000000001e-07,0.6936926959298246,-428.2616970395173,0.006593748261863626
1530.0,1970-01-01 00:00:01.749325665,21138.477881999985,70242.02903299991,9.011999999999999e-07,0.6936926959298246,-395.42487956254996,0.006593748261863626
1531.0,1970-01-01 00:00:01.749325666,21139.760297999987,70245.78846199992,9.014000000000001e-07,0.6936926959298246,-460.07589449368606,0.006593748261863626
1532.0,1970-01-01 00:00:01.749325666,21156.592571999983,70298.07091799991,9.02e-07,0.6936926959298246,-513.3543794029131,0.006593748261863626
1533.0,1970-01-01 00:00:01.749325667,21178.523109999984,70355.36893999991,9.024e-07,0.6936926959298246,-367.4184690172385,0.006593748261863626
1534.0,1970-01-01 00:00:01.749325667,21177.447493999985,70351.74001099991,9.025999999999999e-07,0.6936926959298246,-409.8368567838282,0.006593748261863626
