time,best_of_gen,average,TRAINED,gen
1750819091.5723932,0.7659455211267605,-451.63234614985913,False,4232
1750819092.3578393,0.7659455211267605,-422.6476650602817,False,4233
1750819093.1653383,0.7659455211267605,-493.64060962537695,False,4234
1750819093.9335623,0.7659455211267605,-453.6400056050705,False,4235
1750819094.692116,0.7659455211267605,-354.57107050816904,False,4236
1750819095.4814231,0.7659455211267605,-448.6264688025219,False,4237
1750819096.266067,0.7659455211267605,-433.6170272394366,False,4238
1750819097.07384,0.7659455211267605,-559.6736446348247,False,4239
1750819097.8678544,0.7659455211267605,-495.7171373659944,False,4240
1750819098.6372054,0.7659455211267605,-528.6563396514466,False,4241
1750819099.4138255,0.7659455211267605,-483.64186531120083,False,4242
1750819100.17948,0.7659455211267605,-409.6323461498591,False,4243
1750819100.9567327,0.7659455211267605,-574.6629839707042,False,4244
1750819101.7224474,0.7659455211267605,-482.6323461498591,False,4245
1750819102.539849,0.7659455211267605,-522.685962336338,False,4246
1750819103.2857423,0.7659455211267605,-490.6785590503106,False,4247
1750819104.2177312,0.7659455211267605,-496.6476650602817,False,4248
1750819104.9633715,0.7659455211267605,-470.6400056050704,False,4249
1750819105.7397003,0.7659455211267605,-412.62609292294553,False,4250
1750819106.485166,0.7659455211267605,-430.64110058784007,False,4251
1750819113.855894,0.7659455211267605,-454.60978181889607,True,4252
1750819114.661174,0.7659455211267605,-414.6098933018366,False,4253
1750819115.521357,0.7659455211267605,-508.6706434259155,False,4254
1750819116.3106642,0.7659455211267605,-377.60185416394756,False,4255
1750819117.1845832,0.7659455211267605,-553.7248929349715,False,4256
1750819117.97538,0.7659455211267605,-437.6417992663785,False,4257
1750819118.9085627,0.7659455211267605,-621.7167688718388,False,4258
1750819119.6645598,0.7659455211267605,-377.62581999214876,False,4259
1750819120.4467068,0.7659455211267605,-427.62485720930357,False,4260
1750819121.1939135,0.7659455211267605,-417.59437023312364,False,4261
1750819121.9835818,0.7659455211267605,-472.6400056050704,False,4262
1750819122.7309735,0.7659455211267605,-435.6093677842253,False,4263
1750819123.5128636,0.7659455211267605,-458.62468669464795,False,4264
1750819124.2560916,0.7659455211267605,-435.5940488738028,False,4265
1750819125.0154965,0.7659455211267605,-423.57107050816893,False,4266
1750819125.7762022,0.7659455211267605,-452.6025908055241,False,4267
1750819126.597046,0.7659455211267605,-430.5940488738028,False,4268
1750819127.3559442,0.7659455211267605,-445.6400056050704,False,4269
1750819128.1130116,0.7659455211267605,-469.6476650602817,False,4270
1750819128.8642294,0.7659455211267605,-461.671558212815,False,4271
1750819129.643907,0.7659455211267605,-411.63403887726815,False,4272
1750819130.3790042,0.7659455211267605,-398.57478812182376,False,4273
1750819131.3049614,0.7659455211267605,-411.5863894185916,False,4274
1750819132.0507848,0.7659455211267605,-398.60978616225066,False,4275
1750819132.8667452,0.7659455211267605,-495.6706434259155,False,4276
1750819133.66401,0.7659455211267605,-549.7172052745277,False,4277
1750819141.0854533,0.7659455211267605,-465.6252918119925,True,4278
1750819141.9274762,0.7659455211267605,-529.7089407019719,False,4279
1750819142.831724,0.7659455211267605,-600.7625568884506,False,4280
1750819143.6767323,0.7659455211267605,-511.6716655477078,False,4281
1750819144.4734704,0.7659455211267605,-371.55621216917393,False,4282
1750819145.3161583,0.7659455211267605,-431.62468669464783,False,4283
1750819146.1336699,0.7659455211267605,-498.6410624307945,False,4284
1750819146.9414046,0.7659455211267605,-458.64766506028167,False,4285
1750819147.7927303,0.7659455211267605,-468.67830288112674,False,4286
1750819148.5613117,0.7659455211267605,-429.5941602581807,False,4287
1750819149.3757658,0.7659455211267605,-478.5940488738028,False,4288
1750819150.1782742,0.7659455211267605,-507.65577756529876,False,4289
1750819150.9372828,0.7659455211267605,-434.5940488738028,False,4290
1750819151.706472,0.7659455211267605,-366.55592615656883,False,4291
1750819152.4932,0.7659455211267605,-437.6400056050703,False,4292
1750819153.2919202,0.7659455211267605,-462.6324852003482,False,4293
1750819154.1133857,0.7659455211267605,-594.7012812467605,False,4294
1750819154.8668694,0.7659455211267605,-397.64766506028167,False,4295
1750819155.6474144,0.7659455211267605,-438.62061416636783,False,4296
1750819156.411126,0.7659455211267605,-408.6174546776209,False,4297
1750819157.3382351,0.7659455211267605,-486.6400056050704,False,4298
1750819158.1386247,0.7659455211267605,-500.6553245154929,False,4299
1750819158.9209123,0.7659455211267605,-445.6266346030969,False,4300
1750819159.6708167,0.7659455211267605,-425.60953948832554,False,4301
1750819160.4338312,0.7659455211267605,-445.6250045702797,False,4302
1750819161.1651468,0.7659455211267605,-363.56385301222303,False,4303
1750819168.5877554,0.7659455211267605,-513.6329491987801,True,4304
1750819169.359257,0.7659455211267605,-378.54809214253515,False,4305
1750819170.1938288,0.7659455211267605,-490.65532451549296,False,4306
1750819171.072932,0.7659455211267605,-518.7242596123943,False,4307
1750819171.897054,0.7659455211267605,-435.67858980455713,False,4308
1750819172.744046,0.7659455211267605,-471.62468669464783,False,4309
1750819173.6197827,0.7659455211267605,-517.6787459528244,False,4310
1750819174.4302623,0.7659455211267605,-408.62563295689586,False,4311
1750819175.245629,0.7659455211267605,-432.65532451549296,False,4312
1750819176.0607376,0.7659455211267605,-488.6638486895518,False,4313
1750819176.8674695,0.7659455211267605,-480.65643162683176,False,4314
1750819177.7083702,0.7659455211267605,-510.65722710063136,False,4315
1750819178.485821,0.7659455211267605,-398.5883821214496,False,4316
1750819179.3163607,0.7659455211267605,-534.7012812467606,False,4317
1750819180.1351266,0.7659455211267605,-577.7089407019719,False,4318
1750819180.905682,0.7659455211267605,-454.66396550950515,False,4319
1750819181.6927123,0.7659455211267605,-432.6718541033546,False,4320
1750819182.4979923,0.7659455211267605,-512.6942529568939,False,4321
1750819183.282136,0.7659455211267605,-447.6331850162102,False,4322
1750819184.0660477,0.7659455211267605,-483.6331721120266,False,4323
1750819184.8309772,0.7659455211267605,-440.5797584380787,False,4324
1750819185.7600822,0.7659455211267605,-425.64001078563376,False,4325
1750819186.5332785,0.7659455211267605,-466.6400056050704,False,4326
1750819187.3281865,0.7659455211267605,-447.63234614985913,False,4327
1750819188.1146557,0.7659455211267605,-444.6586932380046,False,4328
1750819188.917814,0.7659455211267605,-479.6452488589414,False,4329
1750819196.3689988,0.7659455211267605,-428.6259534802016,True,4330
1750819197.2237284,0.7659455211267605,-438.63234614985925,False,4331
1750819198.097883,0.7659455211267605,-491.67097957509935,False,4332
1750819198.8901353,0.7659455211267605,-377.571070508169,False,4333
1750819199.7183971,0.7659455211267605,-400.6104582406803,False,4334
1750819200.5643685,0.7659455211267605,-483.67830288112674,False,4335
1750819201.3767369,0.7659455211267605,-474.63234614985913,False,4336
1750819202.1901557,0.7659455211267605,-469.6556882888123,False,4337
1750819202.981826,0.7659455211267605,-422.60170832901406,False,4338
1750819203.766396,0.7659455211267605,-391.571070508169,False,4339
1750819204.5819747,0.7659455211267605,-460.6400056050704,False,4340
1750819205.4018073,0.7659455211267605,-417.62468669464783,False,4341
1750819206.1776164,0.7659455211267605,-438.6093677842253,False,4342
1750819206.9967666,0.7659455211267605,-491.6629839707042,False,4343
1750819207.8051922,0.7659455211267605,-553.6629839707042,False,4344
1750819208.62277,0.7659455211267605,-479.70176422446997,False,4345
1750819209.4044313,0.7659455211267605,-469.67966054201696,False,4346
1750819210.2489283,0.7659455211267605,-616.7400192515416,False,4347
1750819211.048418,0.7659455211267605,-473.69447285605514,False,4348
1750819211.8360167,0.7659455211267605,-447.65559241563767,False,4349
1750819212.5977385,0.7659455211267605,-444.58654607741397,False,4350
1750819213.5369418,0.7659455211267605,-422.6093677842253,False,4351
1750819214.3258054,0.7659455211267605,-482.6706434259155,False,4352
1750819215.1508253,0.7659455211267605,-525.671402181653,False,4353
1750819215.9059834,0.7659455211267605,-479.6942562064939,False,4354
1750819216.6879792,0.7659455211267605,-481.6488492428481,False,4355
1750819217.4128768,0.7659455211267605,-367.56439021081724,False,4356
1750819225.1585069,0.7659455211267605,-470.6255396706384,True,4357
1750819225.9808433,0.7659455211267605,-455.6323461498591,False,4358
1750819226.8359017,0.7659455211267605,-439.63299931040376,False,4359
1750819227.6334739,0.7659455211267605,-446.64766506028167,False,4360
